id,name_ko,name_en,lat,lon
samcheok_haebyeon,삼척해변,Samcheok Haebyeon,37.4680864,129.1664329
samnangjin,삼랑진,Samnangjin,35.3990808,128.8430779
samnye,삼례,Samnye,35.903971,127.0658058
samsan,삼산,Samsan,37.3923018,127.779684
samtan,삼탄,Samtan,37.0734005,128.0385932
sangbong,상봉,Sangbong,37.5969171,127.0854391
sangdong,상동,Sangdong,35.555578,128.7603774
sangju,상주,Sangju,36.4104257,128.164172
sapgyo,삽교,Sapgyo,36.6798421,126.7514513
sasang,사상,Sasang,35.1626153,128.9889516
seocheon,서천,Seocheon,36.0821078,126.708483
seodaegu,서대구,Seodaegu,35.8814513,128.5399736
seodaejeon,서대전,Seodaejeon,36.3225661,127.4030819
seogwangju,서광주,Seogwangju,35.1249087,126.8469221
seogyeongju,서경주,Seogyeongju,35.8844897,129.1806543
seohwaseong,서화성,Seohwaseong,37.248852,126.7868469
seojeongri,서정리,Seojeong-ri,37.0571968,127.0529482
seokbul,석불,Seokbul,37.4600346,127.6548608
seokpo,석포,Seokpo,37.0451816,129.060933
seonghwan,성환,Seonghwan,36.91591,127.1268821
seoul,서울,Seoul,37.5547378,126.9706951
seowonju,서원주,Seowonju,37.348434,127.8394971
seungbu,승부,Seungbu,36.9927195,129.0841276
sillyewon,신례원,Sillyewon,36.7269838,126.8493167
simcheon,심천,Simcheon,36.2372962,127.7202852
sinboseong,신보성,Sinboseong,34.7593744,127.0857073
sinchang,신창,Sinchang,36.7694936,126.9508914
sindong,신동,Sindong,35.9554633,128.4859669
singi,신기,Singi,37.3461148,129.0851056
sinhaeundae,신해운대,Sinhaeundae,35.1816885,129.1770147
sintaein,신태인,Sintaein,35.6878877,126.8840463
sintanjin,신탄진,Sintanjin,36.4494629,127.4281649
songchu,송추,Songchu,37.7207494,126.9795062
ssangnyong,쌍룡,Ssangnyong,37.1746373,128.3288424
suanbo_oncheon,수안보온천,Suanbo Oncheon,36.8415765,128.0050059
suncheon,순천,Suncheon,34.9460395,127.5036489
suseo,수서,Suseo,37.4853488,127.1045247
suwon,수원,Suwon,37.2660227,126.9997646
taebaek,태백,Taebaek,37.1759171,128.9839724
taehwagang,태화강,Taehwagang,35.5385746,129.3538725
tapri,탑리,Tap-ri,36.2599492,128.6831619
uijeongbu,의정부,Uijeongbu,37.7375763,127.0460628
uiseong,의성,Uiseong,36.3537656,128.6930625
uljin,울진,Uljin,36.9815529,129.3955755
ulsan,울산,Ulsan,35.5514356,129.137947
